block_size,insertion,selection
49100,0,2.44773
49200,0.0171906,2.45123
49300,0.0156264,2.4656
49400,0,2.49267
49500,0.0039698,2.49191
49600,0.0050011,2.5027
49700,0,2.52706
49800,0,2.52835
49900,0,2.54177
50000,0.0082798,2.54119
50100,0,2.56
50200,0,2.56494
50300,0,2.58433
50400,0,2.58494
50500,0.0189411,2.58227
50600,0.0156264,2.60181
50700,0,2.63217
50800,0.0045291,2.61887
50900,0.0147339,2.63301
51000,0,2.65616
51100,0,2.66209
51200,0,2.67533
51300,0.0043259,2.67913
51400,0,2.6949
51500,0,2.71091
51600,0,2.70921
51700,0.015626,2.70772
51800,0.0156264,2.73372
51900,0.002953,2.74248
52000,0,2.74987
52100,0,2.76134
52200,0.0156269,2.77215
52300,0.0150607,2.78773
52400,0.00191,2.80315
52500,0.0050011,2.79825
52600,0,2.82049
52700,0.0156454,2.8209
52800,0,2.84917
52900,0,2.85297
53000,0,2.85842
53100,0.0156389,2.85816
53200,0.0156265,2.88465
53300,0,2.892
53400,0,2.90567
53500,0,2.92576
53600,0.0060015,2.91754
53700,0.0140035,2.92579
53800,0,2.96131
53900,0.0027553,2.95267
54000,0.0156262,2.96808
54100,0,2.9761
54200,0.0156264,2.98312
54300,0.0156262,3.00015
54400,0,3.0097
54500,0,3.0364
54600,0.0085911,3.0375
54700,0,3.03823
54800,0.0140185,3.06312
54900,0.0060015,3.06527
55000,0,3.07516
55100,0.0156262,3.08048
55200,0.0156265,3.09348
55300,0.0156262,3.10397
55400,0.0177691,3.11666
55500,0,3.14661
55600,0,3.14892
55700,0,3.16608
55800,0,3.16468
55900,0.0156249,3.18033
56000,0,3.19645
56100,0,3.21224
56200,0,3.21849
56300,0,3.23655
56400,0,3.24827
56500,0.0005114,3.24953
56600,0.0051476,3.24853
56700,0,3.27222
56800,0.0156262,3.28505
56900,0,3.29499
57000,0.01352,3.3268
57100,0,3.32582
57200,0,3.32784
57300,0.0169085,3.33957
57400,0,3.36366
57500,0,3.37173
57600,0.0049825,3.37498
57700,0,3.38626
57800,0,3.40495
57900,0,3.41986
58000,0,3.4288
58100,0.0059159,3.42093
58200,0.0158872,3.44203
58300,0,3.45741
58400,0.0156465,3.47307
58500,0.0050656,3.48275
58600,0,3.50297
58700,0.0027411,3.49866
58800,0.0156261,3.51646
58900,0,3.53308
59000,0,3.54719
59100,0.0156462,3.55648
59200,0.0060014,3.56547
59300,0,3.57442
