block_size,merge,quick
90500,0.009034,0.428205
90600,0.009015,0.341858
90700,0.008976,0.406024
90800,0.009032,0.385283
90900,0.009024,0.211025
91000,0.009529,0.539569
91100,0.009001,0.43775
91200,0.014529,0.174297
91300,0,0.741778
91400,0,0.690524
91500,0,0.09566
91600,0.014504,0.329437
91700,0,0.235805
91800,0.015619,0.753322
91900,0.009405,0.136701
92000,0.008593,0.201745
92100,0.015855,0.264012
92200,0.00858,0.454574
92300,0,0.530999
92400,0.009143,0.396121
92500,0.009064,0.201231
92600,0.009,0.289886
92700,0.016017,0.37989
92800,0,0.253426
92900,0.014381,0.157251
93000,0,0.127369
93100,0.015823,0.328286
93200,0.003103,0.234533
93300,0,0.14016
93400,0.008983,0.329775
93500,0.006536,0.277108
93600,0.014005,0.156717
93700,0,0.264435
93800,0.015633,0.232692
93900,0.01,0.521553
94000,0,0.373924
94100,0.009606,0.335295
94200,0.008856,0.211045
94300,0.00883,0.118367
94400,0,0.34874
94500,0.015657,0.188701
94600,0.015657,0.329822
94700,0,0.17331
94800,0.017981,0.217991
94900,0,0.424696
95000,0.016152,0.17276
95100,0,0.15738
95200,0.017381,0.155748
95300,0,0.235847
95400,0.015621,0.203542
95500,0,0.426046
95600,0.014028,0.157644
95700,0.015857,0.612882
95800,0.01915,0.305489
95900,0.015657,0.109845
96000,0.019323,0.295719
96100,0,0.376524
96200,0.015625,0.156731
96300,0.008531,0.322793
96400,0,0.157204
96500,0.020663,0.167799
96600,0.01563,0.220186
96700,0.018232,0.186779
96800,0.015662,0.252153
96900,0.01735,0.202475
97000,0.006029,0.214089
97100,0.015656,0.330306
97200,0.015627,0.12513
97300,0.015656,0.377585
97400,0.007529,0.41848
97500,0.015624,0.361379
97600,0.00603,0.607276
97700,0.015657,0.550277
97800,0.015624,0.36455
97900,0.014027,0.537329
98000,0.012004,0.319077
98100,0.011002,0.344948
98200,0,0.973592
98300,0.015658,0.159058
98400,0.014006,0.188304
98500,0.016851,0.187333
98600,0.015621,0.370082
98700,0.017333,0.202513
98800,0.015625,0.37717
98900,0.01566,0.28336
99000,0,0.235382
99100,0.015625,0.188494
99200,0.015631,0.267508
99300,0,0.221437
99400,0.014006,0.443774
99500,0.011507,0.125746
99600,0.015626,0.360389
99700,0,0.321956
99800,0,0.204014
99900,0.015625,0.329075
100000,0.017343,0.390738
