block_no,merge,quick
574,2.5005e+08,5.86421e+09
575,2.50962e+08,5.89775e+09
576,2.51876e+08,5.91605e+09
577,2.52791e+08,5.93976e+09
578,2.53709e+08,6.01068e+09
579,2.54627e+08,6.09435e+09
580,2.55548e+08,6.17931e+09
581,2.5647e+08,6.19761e+09
582,2.57394e+08,6.2133e+09
583,2.58319e+08,6.23765e+09
584,2.59247e+08,6.25469e+09
585,2.60176e+08,6.27843e+09
586,2.61106e+08,6.29623e+09
587,2.62039e+08,6.30688e+09
588,2.62973e+08,6.3437e+09
589,2.63908e+08,6.37558e+09
590,2.64846e+08,6.40754e+09
591,2.65785e+08,6.45713e+09
592,2.66726e+08,6.55261e+09
593,2.67668e+08,6.59273e+09
594,2.68613e+08,6.6549e+09
595,2.69559e+08,6.67354e+09
596,2.70506e+08,6.69577e+09
597,2.71456e+08,6.72291e+09
598,2.72407e+08,6.74112e+09
599,2.7336e+08,6.77986e+09
600,2.74314e+08,6.80337e+09
601,2.7527e+08,6.81724e+09
602,2.76228e+08,6.84735e+09
603,2.77188e+08,6.87739e+09
604,2.78149e+08,6.90777e+09
605,2.79112e+08,6.91662e+09
606,2.80077e+08,6.95455e+09
607,2.81043e+08,6.99384e+09
608,2.82011e+08,7.04123e+09
609,2.82981e+08,7.07918e+09
610,2.83952e+08,7.09264e+09
611,2.84925e+08,7.12448e+09
612,2.859e+08,7.20575e+09
613,2.86877e+08,7.24461e+09
614,2.87855e+08,7.28159e+09
615,2.88835e+08,7.31605e+09
616,2.89817e+08,7.35673e+09
617,2.908e+08,7.37278e+09
618,2.91785e+08,7.38885e+09
619,2.92772e+08,7.43883e+09
620,2.9376e+08,7.50061e+09
621,2.9475e+08,7.52438e+09
622,2.95742e+08,7.54725e+09
623,2.96736e+08,7.57911e+09
624,2.97731e+08,7.60963e+09
625,2.98728e+08,7.66964e+09
626,2.99727e+08,7.7098e+09
627,3.00727e+08,7.74332e+09
628,3.01729e+08,7.77429e+09
629,3.02733e+08,7.7984e+09
630,3.03738e+08,7.81806e+09
631,3.04746e+08,7.8695e+09
632,3.05754e+08,7.89441e+09
633,3.06765e+08,7.91218e+09
634,3.07777e+08,7.94633e+09
635,3.08791e+08,7.96531e+09
636,3.09807e+08,8.00285e+09
637,3.10824e+08,8.03053e+09
638,3.11843e+08,8.11076e+09
639,3.12864e+08,8.13107e+09
640,3.13887e+08,8.19658e+09
641,3.14911e+08,8.21493e+09
642,3.15937e+08,8.28122e+09
643,3.16964e+08,8.33992e+09
644,3.17993e+08,8.36761e+09
645,3.19024e+08,8.39318e+09
646,3.20057e+08,8.41563e+09
647,3.21091e+08,8.43828e+09
648,3.22127e+08,8.47301e+09
649,3.23165e+08,8.49448e+09
650,3.24205e+08,8.59146e+09
651,3.25246e+08,8.61581e+09
652,3.26289e+08,8.63032e+09
653,3.27333e+08,8.66252e+09
654,3.2838e+08,8.68491e+09
655,3.29428e+08,8.70513e+09
656,3.30477e+08,8.741e+09
657,3.31529e+08,8.76968e+09
658,3.32582e+08,8.79274e+09
659,3.33637e+08,8.83891e+09
660,3.34694e+08,8.86124e+09
661,3.35753e+08,8.88502e+09
662,3.36813e+08,9.01669e+09
663,3.37876e+08,9.1369e+09
664,3.3894e+08,9.15852e+09
665,3.40006e+08,9.18895e+09
666,3.41074e+08,9.21751e+09
667,3.42143e+08,9.27759e+09
668,3.43214e+08,9.3274e+09
669,3.44288e+08,9.34613e+09
670,3.45362e+08,9.40551e+09
671,3.46439e+08,9.42759e+09
672,3.47518e+08,9.45905e+09
673,3.48598e+08,9.48532e+09
674,3.4968e+08,9.60065e+09
675,3.50764e+08,9.62149e+09
676,3.5185e+08,9.6641e+09
677,3.52937e+08,9.68043e+09
678,3.54027e+08,9.70397e+09
679,3.55118e+08,9.73873e+09
680,3.56211e+08,9.77989e+09
681,3.57305e+08,9.83533e+09
682,3.58402e+08,9.86693e+09
683,3.595e+08,9.90584e+09
684,3.606e+08,9.92885e+09
685,3.61702e+08,9.94752e+09
686,3.62806e+08,9.99012e+09
687,3.63912e+08,1.00449e+10
688,3.65019e+08,1.00638e+10
689,3.66128e+08,1.00878e+10
690,3.67239e+08,1.01302e+10
691,3.68352e+08,1.01449e+10
692,3.69466e+08,1.0179e+10
693,3.70583e+08,1.01962e+10
694,3.71701e+08,1.02388e+10
695,3.72821e+08,1.0256e+10
696,3.73942e+08,1.02888e+10
697,3.75066e+08,1.03202e+10
698,3.76191e+08,1.03636e+10
699,3.77318e+08,1.03857e+10
700,3.78447e+08,1.04303e+10
701,3.79578e+08,1.04503e+10
702,3.80711e+08,1.04865e+10
703,3.81845e+08,1.05381e+10
704,3.82981e+08,1.05657e+10
705,3.84119e+08,1.06036e+10
706,3.85259e+08,1.06227e+10
707,3.864e+08,1.06695e+10
708,3.87544e+08,1.07789e+10
709,3.88689e+08,1.08044e+10
710,3.89836e+08,1.0827e+10
711,3.90984e+08,1.08767e+10
712,3.92135e+08,1.09152e+10
713,3.93287e+08,1.09407e+10
714,3.94441e+08,1.09716e+10
715,3.95597e+08,1.10006e+10
716,3.96755e+08,1.10268e+10
717,3.97914e+08,1.10576e+10
718,3.99076e+08,1.1079e+10
719,4.00239e+08,1.11354e+10
720,4.01404e+08,1.12162e+10
721,4.02571e+08,1.12902e+10
722,4.03739e+08,1.13308e+10
723,4.04909e+08,1.13879e+10
724,4.06082e+08,1.14458e+10
725,4.07256e+08,1.15077e+10
726,4.08431e+08,1.15567e+10
727,4.09609e+08,1.16321e+10
728,4.10788e+08,1.1682e+10
729,4.11969e+08,1.17094e+10
730,4.13152e+08,1.17605e+10
731,4.14337e+08,1.17959e+10
732,4.15523e+08,1.18194e+10
733,4.16712e+08,1.18616e+10
734,4.17902e+08,1.18989e+10
735,4.19094e+08,1.1926e+10
736,4.20288e+08,1.19701e+10
737,4.21483e+08,1.19891e+10
738,4.2268e+08,1.21166e+10
739,4.23879e+08,1.21459e+10
740,4.2508e+08,1.21723e+10
741,4.26283e+08,1.21912e+10
742,4.27488e+08,1.22957e+10
743,4.28694e+08,1.23611e+10
744,4.29902e+08,1.24628e+10
745,4.31112e+08,1.24952e+10
746,4.32324e+08,1.25287e+10
747,4.33537e+08,1.25884e+10
748,4.34753e+08,1.26059e+10
749,4.3597e+08,1.26281e+10
750,4.37189e+08,1.27441e+10
751,4.38409e+08,1.28335e+10
752,4.39632e+08,1.28499e+10
753,4.40856e+08,1.28837e+10
754,4.42082e+08,1.29058e+10
755,4.4331e+08,1.29345e+10
756,4.4454e+08,1.29662e+10
757,4.45772e+08,1.29993e+10
758,4.47005e+08,1.30225e+10
759,4.4824e+08,1.31264e+10
760,4.49477e+08,1.32409e+10
761,4.50716e+08,1.32848e+10
762,4.51956e+08,1.34148e+10
763,4.53199e+08,1.34826e+10
764,4.54443e+08,1.35172e+10
765,4.55689e+08,1.35384e+10
766,4.56936e+08,1.35667e+10
767,4.58186e+08,1.36939e+10
768,4.59437e+08,1.3751e+10
769,4.6069e+08,1.37836e+10
770,4.61945e+08,1.38055e+10
771,4.63202e+08,1.39586e+10
772,4.64461e+08,1.40286e+10
773,4.65721e+08,1.40731e+10
774,4.66983e+08,1.41142e+10
775,4.68247e+08,1.42147e+10
776,4.69513e+08,1.42421e+10
777,4.7078e+08,1.43303e+10
778,4.72049e+08,1.43854e+10
779,4.73321e+08,1.4426e+10
780,4.74594e+08,1.44574e+10
781,4.75868e+08,1.44896e+10
782,4.77145e+08,1.45187e+10
783,4.78423e+08,1.45591e+10
784,4.79703e+08,1.46057e+10
785,4.80985e+08,1.46396e+10
786,4.82269e+08,1.46863e+10
787,4.83554e+08,1.4725e+10
788,4.84842e+08,1.47474e+10
789,4.86131e+08,1.48333e+10
790,4.87422e+08,1.4896e+10
791,4.88715e+08,1.49418e+10
792,4.90009e+08,1.49812e+10
793,4.91305e+08,1.50177e+10
794,4.92604e+08,1.50581e+10
795,4.93903e+08,1.51167e+10
